Datum,DAX50ESGneu,HDAXneu,DAX39ESG,HDAX73
10.10.07,963.4239737,978.3705817,963.4239737,976.629194
11.10.07,968.0384584,986.9178643,968.0384584,985.4703504
12.10.07,970.2950354,989.4803689,970.2950354,988.1090794
15.10.07,964.1808182,983.6576566,964.1808182,981.9241911
16.10.07,955.6741321,975.2089098,955.6741321,973.5334685
17.10.07,961.9255104,980.3975638,961.9255104,978.4715657
18.10.07,951.4637004,971.2512518,951.4637004,969.6523156
19.10.07,945.5285072,964.9783365,945.5285072,963.4724018
22.10.07,931.2875359,949.81031,931.2875359,948.4482254
23.10.07,941.280857,961.0122891,941.280857,959.4332572
24.10.07,935.5076735,955.6749465,935.5076735,954.1689242
25.10.07,948.2402421,968.8235989,948.2402421,967.024493
26.10.07,950.7077361,973.143612,950.7077361,971.612463
29.10.07,955.1477607,976.8253377,955.1477607,975.273969
30.10.07,948.0067326,970.5223813,948.0067326,969.2013213
31.10.07,956.935336,980.524164,956.935336,979.1256721
01.11.07,944.3989211,965.7099192,944.3989211,963.9635188
02.11.07,938.246493,956.9443042,938.246493,955.1574171
05.11.07,931.6533287,950.6037677,931.6533287,948.9368202
06.11.07,935.5438326,956.6851507,935.5438326,954.485398
07.11.07,929.9513286,950.9910153,929.9513286,948.5993042
08.11.07,927.1239297,946.9677818,927.1239297,944.4833708
09.11.07,920.3526613,937.5248971,920.3526613,935.2390029
12.11.07,920.3792996,936.0403789,920.3792996,933.8777525
13.11.07,916.9402528,929.28807,916.9402528,928.2593454
14.11.07,925.3673329,935.1939182,925.3673329,934.5100227
15.11.07,907.907327,919.7054608,907.907327,918.7725836
16.11.07,900.5813808,912.1732782,900.5813808,911.3481907
19.11.07,880.9805672,891.4334412,880.9805672,890.7046731
20.11.07,893.5076378,900.0316811,893.5076378,898.9763823
21.11.07,871.7962482,876.0786403,871.7962482,875.2314875
22.11.07,872.1757584,877.3065105,872.1757584,876.6379051
23.11.07,887.0938218,890.7384503,887.0938218,890.0779145
26.11.07,881.4996853,888.4600377,881.4996853,887.3378279
27.11.07,882.8447891,887.8936007,882.8447891,886.9911571
28.11.07,905.6558341,910.5222122,905.6558341,909.6378874
29.11.07,912.4770313,917.9251744,912.4770313,916.9216408
30.11.07,925.4905697,931.8001459,925.4905697,930.1392008
